gid,lat,lng,time,duration
360470121002,40.670171,-73.989577,2017-09-20T12:56:34Z,39
360470121002,40.67024,-73.989723,2017-09-20T12:57:13Z,28
360470121002,40.670495,-73.990245,2017-09-20T12:57:41Z,385
360470121002,40.670495,-73.990245,2017-09-20T13:04:06Z,178
360470077003,40.676781,-73.997170,2017-09-20T13:07:04Z,26
360470077004,40.678095,-73.996310,2017-09-20T13:07:30Z,210
360470069001,40.686524,-73.990544,2017-09-20T13:11:00Z,21
360470069001,40.686527,-73.990541,2017-09-20T13:11:21Z,458
360470021001,40.704499,-73.993537,2017-09-20T13:18:59Z,643
360610065001,40.73165,-73.999597,2017-09-20T13:29:42Z,0
360610065001,40.73165,-73.999597,2017-09-20T13:29:42Z,100
360610063005,40.733062,-73.999917,2017-09-20T13:31:22Z,15
360610063005,40.733007,-73.999945,2017-09-20T13:31:37Z,180
360610065001,40.730971,-73.998055,2017-09-20T13:34:37Z,30
360610065001,40.730856,-73.997888,2017-09-20T13:35:07Z,16
360610065001,40.730785,-73.997738,2017-09-20T13:35:23Z,32
360610065001,40.730581,-73.997355,2017-09-20T13:35:55Z,19
360610065001,40.730481,-73.997084,2017-09-20T13:36:14Z,18
360610065001,40.730412,-73.996779,2017-09-20T13:36:32Z,26
360610065001,40.730248,-73.996174,2017-09-20T13:36:58Z,36
360610059003,40.730098,-73.995889,2017-09-20T13:37:34Z,20
360610059003,40.729982,-73.995641,2017-09-20T13:37:54Z,18
360610059003,40.729779,-73.995192,2017-09-20T13:38:12Z,45940
360610065005,40.729285,-73.998456,2017-09-21T02:23:52Z,106
360610037001,40.728841,-74.007889,2017-09-21T02:25:38Z,16
360610037001,40.728979,-74.009284,2017-09-21T02:25:54Z,21
360610037001,40.728978,-74.009635,2017-09-21T02:26:15Z,17
360610037001,40.728944,-74.009522,2017-09-21T02:26:32Z,84
360610039001,40.722511,-74.011772,2017-09-21T02:27:56Z,66
360610039002,40.719799,-74.012507,2017-09-21T02:29:02Z,17
360610317031,40.717754,-74.012903,2017-09-21T02:29:19Z,16
360610317032,40.716774,-74.013141,2017-09-21T02:29:35Z,57
360610317032,40.714403,-74.013661,2017-09-21T02:30:32Z,135
360610013002,40.705862,-74.015028,2017-09-21T02:32:47Z,450
360470018001,40.66641,-73.995820,2017-09-21T02:40:17Z,34
360470143001,40.665365,-73.994017,2017-09-21T02:40:51Z,22
360470143001,40.665171,-73.993865,2017-09-21T02:41:13Z,119
360470143001,40.66419,-73.991622,2017-09-21T02:43:12Z,25317
360470143001,40.66419,-73.991622,2017-09-21T09:45:09Z,181
360470047001,40.690404,-73.998572,2017-09-21T09:48:10Z,25
360470007001,40.692983,-73.999393,2017-09-21T09:48:35Z,20
360470003014,40.695168,-73.998709,2017-09-21T09:48:55Z,49
360470001001,40.701063,-73.994105,2017-09-21T09:49:44Z,51
