gid,lat,lng,time,duration
36047005300,40.670896,-74.013097,2017-09-28T18:19:40Z,20
36047005300,40.670853,-74.012785,2017-09-28T18:20:00Z,18
36047005300,40.670903,-74.012544,2017-09-28T18:20:18Z,20
36047005300,40.671099,-74.012327,2017-09-28T18:20:38Z,16
36047005300,40.671244,-74.012159,2017-09-28T18:20:54Z,27
36047005300,40.671495,-74.011822,2017-09-28T18:21:21Z,23
36047005300,40.671666,-74.011554,2017-09-28T18:21:44Z,27
36047005300,40.671864,-74.011239,2017-09-28T18:22:11Z,22
36047005300,40.671936,-74.011172,2017-09-28T18:22:33Z,26
36047005300,40.671862,-74.011226,2017-09-28T18:22:59Z,77
36047005300,40.671699,-74.011391,2017-09-28T18:24:16Z,4152
36047005300,40.672133,-73.999656,2017-09-28T19:33:28Z,18
36047007700,40.672532,-73.998901,2017-09-28T19:33:46Z,15
36047007700,40.67354,-73.998350,2017-09-28T19:34:01Z,21
36047007700,40.674139,-73.998038,2017-09-28T19:34:22Z,18
36047007700,40.674428,-73.997728,2017-09-28T19:34:40Z,26
36047007700,40.674486,-73.997587,2017-09-28T19:35:06Z,33
36047007700,40.674279,-73.997357,2017-09-28T19:35:39Z,34
36047011900,40.673454,-73.995837,2017-09-28T19:36:13Z,33
36047011900,40.672645,-73.993760,2017-09-28T19:36:46Z,39
36047012100,40.671784,-73.991675,2017-09-28T19:37:25Z,20
36047012100,40.67171,-73.991527,2017-09-28T19:37:45Z,61
36047012100,40.670129,-73.989163,2017-09-28T19:38:46Z,0
36047012100,40.670129,-73.989163,2017-09-28T19:38:46Z,24
36047012100,40.670074,-73.989201,2017-09-28T19:39:10Z,36
36047012100,40.669692,-73.989461,2017-09-28T19:39:46Z,26
36047012100,40.669429,-73.989630,2017-09-28T19:40:12Z,26
36047012100,40.669196,-73.989776,2017-09-28T19:40:38Z,53
36047013900,40.668717,-73.990076,2017-09-28T19:41:31Z,45
36047011700,40.668348,-73.990425,2017-09-28T19:42:16Z,16
36047011700,40.668189,-73.990666,2017-09-28T19:42:32Z,40
36047014100,40.667668,-73.990939,2017-09-28T19:43:12Z,19
36047014100,40.667471,-73.991101,2017-09-28T19:43:31Z,22
36047011700,40.6673,-73.991327,2017-09-28T19:43:53Z,18
36047011700,40.667167,-73.991428,2017-09-28T19:44:11Z,18
36047011700,40.667,-73.991533,2017-09-28T19:44:29Z,24
36047011700,40.666811,-73.991723,2017-09-28T19:44:53Z,40
36047011700,40.666455,-73.992112,2017-09-28T19:45:33Z,17
36047011700,40.666341,-73.992310,2017-09-28T19:45:50Z,22
36047011700,40.666128,-73.992444,2017-09-28T19:46:12Z,34
36047011700,40.665776,-73.992630,2017-09-28T19:46:46Z,23
36047011700,40.66554,-73.992778,2017-09-28T19:47:09Z,22
36047014300,40.66534,-73.992918,2017-09-28T19:47:31Z,27
36047014300,40.665186,-73.992942,2017-09-28T19:47:58Z,22
36047014300,40.665053,-73.992958,2017-09-28T19:48:20Z,30
36047014300,40.664879,-73.992973,2017-09-28T19:48:50Z,25
36047014300,40.664739,-73.992717,2017-09-28T19:49:15Z,106
36047014300,40.664113,-73.991611,2017-09-28T19:51:01Z,31
36047014300,40.663916,-73.991819,2017-09-28T19:51:32Z,83689
36047013700,40.66984,-73.985784,2017-09-29T19:06:21Z,20
36047013700,40.670432,-73.985228,2017-09-29T19:06:41Z,16
36047013700,40.670479,-73.985188,2017-09-29T19:06:57Z,219
36047013500,40.671935,-73.984048,2017-09-29T19:10:36Z,15
36047013500,40.672373,-73.983662,2017-09-29T19:10:51Z,39
36047013500,40.673022,-73.983087,2017-09-29T19:11:30Z,158
36047013300,40.67493,-73.981434,2017-09-29T19:14:08Z,17
36047013300,40.674993,-73.981423,2017-09-29T19:14:25Z,62
36047013100,40.676614,-73.980290,2017-09-29T19:15:27Z,17
36047013100,40.676751,-73.980247,2017-09-29T19:15:44Z,87
36047013100,40.67858,-73.978982,2017-09-29T19:17:11Z,19
36047013100,40.678584,-73.978945,2017-09-29T19:17:30Z,68
36047012902,40.680305,-73.977809,2017-09-29T19:18:38Z,0
36047012902,40.680305,-73.977809,2017-09-29T19:18:38Z,15
36047012902,40.680299,-73.977753,2017-09-29T19:18:53Z,17
36047012902,40.680182,-73.977516,2017-09-29T19:19:10Z,96
36047012902,40.679941,-73.976198,2017-09-29T19:20:46Z,87
36047016100,40.679749,-73.975011,2017-09-29T19:22:13Z,31
36047012902,40.679867,-73.974981,2017-09-29T19:22:44Z,102
36047016100,40.679351,-73.974290,2017-09-29T19:24:26Z,59
36047016100,40.679094,-73.973945,2017-09-29T19:25:25Z,63849
36047014300,40.663916,-73.991819,2017-09-30T13:09:34Z,348
36047013500,40.67199,-73.984121,2017-09-30T13:15:22Z,27
36047013500,40.672974,-73.983175,2017-09-30T13:15:49Z,27
36047013500,40.673071,-73.983050,2017-09-30T13:16:16Z,16
36047013500,40.673397,-73.982779,2017-09-30T13:16:32Z,25
36047013300,40.674842,-73.981611,2017-09-30T13:16:57Z,21
36047013300,40.674906,-73.981583,2017-09-30T13:17:18Z,16
36047013300,40.675393,-73.981159,2017-09-30T13:17:34Z,22
36047013100,40.677021,-73.980052,2017-09-30T13:17:56Z,17
36047013100,40.678099,-73.979320,2017-09-30T13:18:13Z,16
36047013100,40.678144,-73.979289,2017-09-30T13:18:29Z,21
36047013100,40.678167,-73.979274,2017-09-30T13:18:50Z,16
36047013100,40.678625,-73.978962,2017-09-30T13:19:06Z,21
36047013100,40.678794,-73.978848,2017-09-30T13:19:27Z,23
36047012902,40.680044,-73.978000,2017-09-30T13:19:50Z,31
36047012902,40.68007,-73.977962,2017-09-30T13:20:21Z,18
36047012902,40.680069,-73.977840,2017-09-30T13:20:39Z,29
36047012902,40.680048,-73.977266,2017-09-30T13:21:08Z,0
36047012902,40.680048,-73.977266,2017-09-30T13:21:08Z,170
36047012902,40.67993,-73.975006,2017-09-30T13:23:58Z,21
36047016100,40.679888,-73.974737,2017-09-30T13:24:19Z,27
36047016100,40.679763,-73.974569,2017-09-30T13:24:46Z,22081
36061005400,40.738715,-73.994717,2017-09-30T19:32:47Z,680
36061007700,40.739647,-74.002688,2017-09-30T19:44:07Z,30
36061008300,40.739889,-74.002623,2017-09-30T19:44:37Z,21
36061008300,40.739889,-74.002623,2017-09-30T19:44:58Z,18
36061008300,40.73994,-74.002595,2017-09-30T19:45:16Z,46
36061008300,40.740277,-74.002400,2017-09-30T19:46:02Z,111
36061008300,40.74073,-74.002130,2017-09-30T19:47:53Z,0
36061008300,40.74073,-74.002130,2017-09-30T19:47:53Z,361
36061010300,40.751727,-73.995562,2017-09-30T19:53:54Z,0
36061010300,40.751727,-73.995562,2017-09-30T19:53:54Z,64
36061010300,40.751988,-73.995405,2017-09-30T19:54:58Z,102
36061010300,40.752323,-73.995203,2017-09-30T19:56:40Z,30
36061010300,40.752558,-73.995041,2017-09-30T19:57:10Z,116
36061011100,40.753603,-73.996028,2017-09-30T19:59:06Z,15
36061011100,40.753599,-73.996248,2017-09-30T19:59:21Z,32
36061011100,40.753682,-73.996668,2017-09-30T19:59:53Z,6
36061011100,40.753714,-73.996767,2017-09-30T19:59:59Z,1
36061011100,40.753714,-73.996767,2017-09-30T20:00:00Z,173
36061009900,40.754513,-73.999201,2017-09-30T20:02:53Z,15
36061009900,40.754593,-73.999290,2017-09-30T20:03:08Z,172
36061009900,40.755494,-74.001064,2017-09-30T20:06:00Z,50
36061009900,40.755751,-74.001755,2017-09-30T20:06:50Z,17
36061009900,40.755784,-74.001831,2017-09-30T20:07:07Z,83
36061009900,40.756095,-74.001853,2017-09-30T20:08:30Z,46
36061009900,40.756267,-74.001866,2017-09-30T20:09:16Z,111
36061009900,40.756734,-74.001943,2017-09-30T20:11:07Z,22
36061009900,40.756809,-74.002028,2017-09-30T20:11:29Z,94
36061009900,40.757432,-74.003874,2017-09-30T20:13:03Z,73411
36047014300,40.664461,-73.991579,2017-10-01T16:36:34Z,436
36047006700,40.683281,-73.995500,2017-10-01T16:43:50Z,29
36047007500,40.682295,-73.995916,2017-10-01T16:44:19Z,193
36047005300,40.672884,-73.999411,2017-10-01T16:47:32Z,16
36047005300,40.672215,-73.998934,2017-10-01T16:47:48Z,15
36047001800,40.670885,-73.998112,2017-10-01T16:48:03Z,187
36047014300,40.665497,-73.994240,2017-10-01T16:51:10Z,64746
36047012902,40.679443,-73.976270,2017-10-02T10:50:16Z,2
36047012902,40.679444,-73.976269,2017-10-02T10:50:18Z,533
36047012902,40.679763,-73.975941,2017-10-02T10:59:11Z,12
36047012902,40.679771,-73.975934,2017-10-02T10:59:23Z,33
36047012902,40.67979,-73.975913,2017-10-02T10:59:56Z,3
36047012902,40.679793,-73.975911,2017-10-02T10:59:59Z,1
36047012902,40.679793,-73.975911,2017-10-02T11:00:00Z,28
36047012902,40.67981,-73.975894,2017-10-02T11:00:28Z,406
36047012902,40.680053,-73.975644,2017-10-02T11:07:14Z,6
36047012902,40.680057,-73.975640,2017-10-02T11:07:20Z,3
36047012902,40.680059,-73.975638,2017-10-02T11:07:23Z,48
36047012902,40.680087,-73.975609,2017-10-02T11:08:11Z,475
36047012902,40.680372,-73.975316,2017-10-02T11:16:06Z,117
36047012902,40.680442,-73.975244,2017-10-02T11:18:03Z,2772
36047016100,40.682103,-73.973538,2017-10-02T12:04:15Z,4
36047016100,40.682106,-73.973535,2017-10-02T12:04:19Z,55
36047016100,40.682139,-73.973501,2017-10-02T12:05:14Z,6
36047016100,40.682142,-73.973498,2017-10-02T12:05:20Z,21605
36047123700,40.695093,-73.960195,2017-10-02T18:05:25Z,43
36047123700,40.695119,-73.960169,2017-10-02T18:06:08Z,6861
36047053100,40.699232,-73.955944,2017-10-02T20:00:29Z,11
